ID	Domanda	Risposta Corretta	Risposta Errata 1	Risposta Errata 2	Risposta Errata 3
18	Qual è l'opera più famosa di Michelangelo?	La Cappella Sistina	Il David	Pietà	La Creazione di Adamo
18	Come si chiama il movimento artistico caratterizzato da forme geometriche astratte e colori primari?	De Stijl	Puntinismo	Espressionismo	Barocco
18	Come si chiama il periodo artistico caratterizzato da opere ornamentali e dettagliate?	Barocco	Rinascimento	Gotico	Neoclassicismo
18	Come si chiama l'opera scultorea di Auguste Rodin raffigurante un uomo pensieroso?	Il Pensatore	Il David	Il Bacio	La Pietà
18	Qual è l'artista noto per le sue sculture surreali e bizzarre?	Salvador Dalì	Pablo Picasso	Joan Miró	Henri Matisse
18	Chi ha dipinto "La Notte Stellata"?	Vincent Van Gogh	Claude Monet	Salvador Dalì	Leonardo da Vinci
18	Come si chiama l'arte di creare immagini utilizzando solo pezzi di carta colorata?	Collage	Pittura	Mosaico	Scultura
19	Qual è il principale sistema politico dei paesi occidentali?	Democrazia	Monarchia	Dittatura	Teocrazia
19	Come si chiama il sistema politico in cui il potere è concentrato nelle mani di pochi?	Oligarchia	Plutocrazia	Teocrazia	Autocrazia
19	Cosa rappresenta l'acronimo "UE"?	Unione Europea	United States	Unione degli Stati Arabi	Unione delle Etiopie
19	Qual è il nome del sistema politico in cui il potere è ereditario?	Monarchia	Repubblica	Dittatura	Teocrazia
19	Come si chiama il sistema politico in cui il potere è detenuto da un singolo individuo?	Dittatura	Autocrazia	Anarchia	Monarchia
19	Come si chiama la forma di governo in cui il potere è detenuto da un'élite religiosa?	Teocrazia	Monarchia	Repubblica	Democrazia
19	Qual è il nome del sistema politico in cui il potere è esercitato direttamente dal popolo?	Democrazia	Repubblica	Dittatura	Teocrazia
19	Qual è il nome del sistema politico in cui il potere è diviso tra più entità indipendenti?	Federazione	Confederazione	Unitaria	Decentrata
19	Cosa rappresenta l'acronimo "ONU"?	Organizzazione delle Nazioni Unite	Organizzazione del Trattato dell'Atlantico del Nord	Organizzazione per la Cooperazione e lo Sviluppo Economico	Organizzazione per la Sicurezza e la Cooperazione in Europa
19	Qual è il nome del sistema politico in cui il potere è detenuto da un gruppo di giudici?	Giudicato	Teocrazia	Monarchia	Repubblica
20	Qual è il fiume più lungo del mondo?	Nilo	Amazzonia	Yangtze	Mississippi
20	Qual è il paese più grande del mondo per estensione territoriale?	Russia	Canada	Cina	Stati Uniti
20	Qual è la capitale degli Stati Uniti?	Washington D.C.	New York	Los Angeles	Chicago
20	Qual è la città più popolosa del mondo?	Tokyo	Shanghai	Pechino	Mumbai
20	Come si chiama l'oceano più grande della Terra?	Oceano Pacifico	Oceano Atlantico	Oceano Indiano	Oceano Artico
20	Qual è il deserto più grande del mondo?	Deserto dell'Antartide	Sahara	Deserto del Gobi	Deserto del Kalahari
20	Come si chiama il lago più profondo del mondo?	Lago Baikal	Lago Superiore	Lago Vittoria	Lago Michigan
20	Qual è il paese più piccolo del mondo?	Città del Vaticano	Monaco	Tuvalu	Nauru
20	Qual è il monte più alto del mondo?	Monte Everest	K2	Kangchenjunga	Lhotse
20	Qual è la catena montuosa più lunga del mondo?	Catena montuosa delle Ande	Catena montuosa delle Alpi	Appalachi	Urali
21	Come si chiama il mercato in cui vengono scambiate le azioni di società pubbliche?	Borsa valori	Forex	Mercato azionario	Mercato dei futures
21	Cosa rappresenta l'acronimo "GDP"?	Prodotto Interno Lordo	Prodotto Interno Lordato	Gross Domestic Product	Grand Depreciation Policy
21	Chi è considerato il padre dell'economia moderna?	Adam Smith	Karl Marx	John Maynard Keynes	Friedrich Hayek
21	Come si chiama l'istituzione che controlla la politica monetaria negli Stati Uniti?	Federal Reserve	Fondo Monetario Internazionale	Banca Mondiale	Banca d'Italia
21	Qual è la valuta più scambiata al mondo?	Dollaro statunitense	Euro	Yen giapponese	Sterlina britannica
21	Cosa rappresenta l'acronimo "CEO"?	Chief Executive Officer	Chief Economic Officer	Chief Employment Officer	Chief Energy Officer
21	Cosa rappresenta l'acronimo "ETF"?	Exchange-Traded Fund	Electronic Trade Facility	European Trade Federation	Executive Task Force
21	Come si chiama il tasso di interesse a cui le banche si prestano reciprocamente denaro?	Tasso LIBOR	Tasso di sconto	Tasso di cambio	Tasso di interesse ufficiale
21	Qual è l'indice principale utilizzato per misurare il mercato azionario statunitense?	S&P 500	Dow Jones	NASDAQ	FTSE 100
21	Come si chiama il processo di vendita di azioni al pubblico per la prima volta da parte di una società?	IPO (Initial Public Offering)	M&A (Mergers and Acquisitions)	LBO (Leveraged Buyout)	VC (Venture Capital)
22	Cosa studia la biologia?	La vita e gli organismi viventi	Le stelle e i pianeti	Le strutture atomiche	Le macchine e le loro applicazioni
22	Cosa studia l'astronomia?	Gli astri e l'universo	La terra e i suoi movimenti	La vita sul pianeta	Le cellule e gli organismi
22	Cosa studia la fisica?	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi	Le stelle e i pianeti	Le strutture atomiche
22	Cosa studia la chimica?	Le proprietà e le trasformazioni della materia	Le leggi della natura e il comportamento della materia ed energia	La vita e gli organismi viventi	Le macchine e le loro applicazioni
22	Cosa studia l'informatica?	Il trattamento automatico delle informazioni	L'elettricità e il magnetismo	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi
22	Cosa studia l'ingegneria?	L'applicazione della scienza alla risoluzione dei problemi pratici	La vita e gli organismi viventi	Le strutture atomiche	Le macchine e le loro applicazioni
22	Cosa studia la geologia?	La struttura e la composizione della terra	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi	Le stelle e i pianeti
22	Cosa studia l'ecologia?	Le relazioni tra gli organismi e il loro ambiente	Le proprietà e le trasformazioni della materia	Le leggi della natura e il comportamento della materia ed energia	Le strutture atomiche
22	Cosa studia l'elettronica?	Il comportamento e le applicazioni degli elettroni	Le leggi della natura e il comportamento della materia ed energia	Le stelle e i pianeti	Le strutture atomiche
22	Cosa studia la matematica?	I numeri e le loro proprietà	Le leggi della natura e il comportamento della materia ed energia	Le strutture atomiche	Le macchine e le loro applicazioni
23	Come si chiama la famosa serie di romanzi di J.K. Rowling ambientata nella scuola di magia di Hogwarts?	Harry Potter	Il Signore degli Anelli	Cronache del ghiaccio e del fuoco	Il miglio verde
23	Chi è l'autore della celebre opera "La Divina Commedia"?	Dante Alighieri	Giovanni Boccaccio	Petrarca	Ugo Foscolo
23	Come si chiama il protagonista del romanzo "Moby Dick" di Herman Melville?	Ishmael	Captain Ahab	Starbuck	Queequeg
23	Qual è il nome del protagonista de "Il Piccolo Principe" di Antoine de Saint-Exupéry?	Il Piccolo Principe	Antoine	Il Narratore	La Volpe
23	Chi ha scritto "Cime tempestose"?	Emily Brontë	Charlotte Brontë	Anne Brontë	Jane Austen
23	Come si chiama il famoso detective creato da Arthur Conan Doyle?	Sherlock Holmes	Hercule Poirot	Philip Marlowe	Sam Spade
23	Cosa ha scritto Miguel de Cervantes?	Don Chisciotte	Anna Karenina	Guerra e Pace	Orgoglio e Pregiudizio
23	Qual è il libro più venduto al mondo dopo la Bibbia?	Il Piccolo Principe	Harry Potter e la Pietra Filosofale	Il Signore degli Anelli	Il Codice Da Vinci
23	Chi è l'autore de "Il Gattopardo"?	Giuseppe Tomasi di Lampedusa	Italo Calvino	Umberto Eco	Gabriel García Márquez
23	Come si chiama il protagonista de "Il Conte di Montecristo" di Alexandre Dumas?	Edmond Dantès	Fernand Mondego	Albert de Morcerf	Baron Franz d'Épinay
24	Cosa studia la geologia?	La struttura e la composizione della Terra	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi	Le stelle e i pianeti
24	Cosa sono le placche tettoniche?	Blocchi rigidi della crosta terrestre che si muovono	Strati di rocce sedimentarie	Montagne vulcaniche	Barriere coralline
24	Come si chiama il processo di formazione di nuove rocce attraverso il raffreddamento e solidificazione del magma o della lava?	Solidificazione	Consolidazione	Erosione	Metamorfismo
24	Qual è il tipo di roccia più comune sulla crosta terrestre?	Rocce sedimentarie	Rocce ignee	Rocce metamorfiche	Rocce vulcaniche
24	Cosa rappresenta l'acronimo "Pangea"?	Il supercontinente originario	Catena montuosa	Oceano antico	Grande sprofondamento oceanico
24	Come si chiama il processo di erosione del suolo causato dal vento?	Deflazione	Corrasione	Abrazione	Glaciazione
24	Cosa indica la scala di Richter?	L'energia liberata da un terremoto	La profondità del punto di origine del terremoto	La velocità del terremoto	La durata del terremoto
24	Cosa rappresenta l'acronimo "UNESCO"?	Organizzazione delle Nazioni Unite per l'Educazione la Scienza e la Cultura	Organizzazione delle Nazioni Unite per lo Sviluppo Economico e Sociale	Organizzazione delle Nazioni Unite per l'Agricoltura e l'Alimentazione	Organizzazione delle Nazioni Unite per gli Affari Umanitari
24	Qual è il più grande deserto di sabbia del mondo?	Deserto del Sahara	Deserto di Atacama	Deserto di Gobi	Deserto del Kalahari
24	Qual è il tipo di rilievo formato dall'accumulo di sedimenti trasportati da fiumi vento o ghiaccio?	Pianura	Altopiano	Collina	Delta
25	Cosa studia la storia della musica?	Lo sviluppo e l'evoluzione della musica nel tempo	Le tecniche di pittura nel Rinascimento	La storia della filosofia	Le scoperte scientifiche nel campo della medicina
25	Chi è considerato il "Padre della Musica Occidentale"?	Johann Sebastian Bach	Ludwig van Beethoven	Wolfgang Amadeus Mozart	Antonio Vivaldi
25	Come si chiama il compositore tedesco del periodo barocco noto per le sue "Cantate"?	Johann Sebastian Bach	George Frideric Handel	Antonio Vivaldi	George Philipp Telemann
25	Qual è il compositore classico austriaco famoso per le sue sinfonie e concerti per pianoforte?	Wolfgang Amadeus Mozart	Ludwig van Beethoven	Franz Schubert	Johannes Brahms
25	Cosa rappresenta l'acronimo "Barocco" nel contesto della storia della musica?	Un periodo musicale caratterizzato da ornamenti elaborati e contrappunto	Jazz classico	Periodo del Romanticismo	Stile minimalista
25	Qual è il periodo musicale successivo al Barocco?	Classico	Romantico	Contemporaneo	Barocco Tardivo
25	Come si chiama il periodo musicale caratterizzato dalla crescita dell'individualismo e dell'espressione emotiva?	Romantico	Barocco	Classico	Rinascimento
25	Chi è considerato uno dei più grandi compositori del periodo romantico?	Ludwig van Beethoven	Franz Schubert	Johannes Brahms	Gustav Mahler
25	Cosa è la Sinfonia n. 9 di Beethoven?	Una delle sue opere più famose	Un'opera lirica	Una sonata per pianoforte	Un quartetto d'archi
25	Qual è il genere musicale associato alla città di New Orleans, Louisiana noto per l'uso del clarinetto e della tromba?	Jazz	Dixieland Blues	Swing	Funk
26	Chi è il capo dello Stato italiano?	Presidente della Repubblica	Primo Ministro	Presidente del Consiglio dei Ministri	Segretario Generale
26	Quale organo dell'Italia è responsabile dell'approvazione delle leggi?	Parlamento	Corte Costituzionale	Governo	Senato
26	Come si chiama il sistema elettorale italiano per la Camera dei Deputati?	Sistema proporzionale	Sistema maggioritario	Sistema misto	Sistema a doppio turno
26	Come si chiama il ramo del Parlamento italiano composto da deputati eletti direttamente dal popolo?	Camera dei Deputati	Senato della Repubblica	Camera dei Lord	Senato degli Stati Uniti
26	Cosa rappresenta l'acronimo "PD" nella politica italiana?	Partito Democratico	Partito Popolare	Partito della Libertà	Partito Comunista
26	Chi è il leader del principale partito di opposizione in Italia?	Matteo Salvini	Giorgia Meloni	Enrico Letta	Matteo Renzi
26	Come si chiama l'organo costituzionale italiano che garantisce l'indipendenza della magistratura?	Consiglio Superiore della Magistratura	Corte Costituzionale	Giudici di Pace	Corte Suprema
26	Qual è il massimo organo giuridico d'Italia?	Corte Costituzionale	Corte Suprema	Corte d'Appello	Tribunale Costituzionale
26	Come si chiama il palazzo che ospita il Parlamento italiano?	Palazzo Montecitorio	Palazzo Chigi	Palazzo Madama	Palazzo del Quirinale
26	Come si chiama il partito politico italiano fondato da Silvio Berlusconi?	Forza Italia	Alleanza Nazionale	Partito Democratico	Partito Comunista Italiano
27	Cosa rappresenta l'acronimo "pH"?	Potenziale di idrogeno	Potenziale di ossigeno	Pressione idraulica	Parametro di temperatura
27	Come si chiama il processo attraverso il quale una sostanza passa dallo stato solido direttamente allo stato gassoso senza passare per lo stato liquido?	Sublimazione	Evaporazione	Condensazione	Fusione
27	Cosa rappresenta l'acronimo "DNA"?	Acido desossiribonucleico	Acido nucleico doppio	Decomposizione naturale atomica	Documento nazionale d'anagrafe
27	Qual è la formula chimica dell'acqua?	H2O	CO2	H2SO4	NaCl
27	Come si chiama il processo attraverso il quale l'ossigeno reagisce con altre sostanze producendo energia?	Ossidazione	Reduzione	Fermentazione	Combustione
27	Cosa indica il numero atomico di un elemento chimico?	Il numero di protoni nel nucleo	Il numero di elettroni nell'atomo	La massa atomica	Il numero di neutroni nell'atomo
27	Qual è il simbolo chimico per l'oro?	Au	Ag	Fe	Cu
27	Cosa rappresenta la formula chimica "H2SO4"?	Acido solforico	Acido cloridrico	Acido nitrico	Acido acetico
27	Come si chiama il processo attraverso il quale una sostanza chimica cede elettroni?	Ossidazione	Reduzione	Combustione	Fermentazione
27	Cosa è la combustione?	Una reazione chimica in cui una sostanza reagisce con l'ossigeno producendo calore e luce	Una reazione chimica in cui una sostanza reagisce con l'idrogeno	Una reazione chimica in cui una sostanza reagisce con il carbonio	Una reazione chimica in cui una sostanza reagisce con l'acqua
28	Cosa studiano le scienze ambientali?	L'interazione tra gli organismi e il loro ambiente	La fisica delle stelle e dei pianeti	Le leggi della termodinamica	Le teorie dell'evoluzione
28	Cosa rappresenta l'acronimo "CO2"?	Anidride carbonica	Monossido di carbonio	Acido solforico	Acqua ossigenata
28	Come si chiama il processo attraverso il quale gli alberi e le piante assorbono anidride carbonica dall'aria e la trasformano in ossigeno?	Fotosintesi	Respirazione	Decomposizione	Evaporazione
28	Cosa rappresenta l'acronimo "UNFCCC" nella sfera delle politiche ambientali?	Convenzione quadro delle Nazioni Unite sui cambiamenti climatici	Unione Nazionale Federazione Campagna Caccia	Unione Nazionale dei Fotografi Cinematografici e Cinematografici	Commissione Unificata per la Formazione Continua e il Credito Cooperativo
28	Come si chiama il processo attraverso il quale gli esseri viventi consumano ossigeno e producono anidride carbonica?	Respirazione	Assimilazione	Fotosintesi	Decomposizione
28	Qual è la principale causa dell'effetto serra?	Aumento delle emissioni di gas serra nell'atmosfera	Diminuzione della deforestazione	Incremento della produzione di energia da fonti rinnovabili	Aumento della biodiversità
28	Come si chiama il fenomeno atmosferico attraverso il quale gli agenti inquinanti si accumulano a livelli elevati in una determinata area?	Inversione termica	El Niño	Onda di marea	Albedo
28	Cosa rappresenta l'acronimo "IPCC" nella sfera delle politiche ambientali?	Pannello Intergovernativo sui Cambiamenti Climatici	Comitato Internazionale per la Protezione della Civiltà	Iniziativa per la Promozione delle Cure Infermieristiche	Consiglio Internazionale per la Prevenzione dei Conflitti
28	Cosa studia l'ecologia?	Le relazioni tra gli organismi e il loro ambiente	La struttura dell'atomo	La teoria dell'universo in espansione	La genetica delle piante
28	Qual è il principale gas a effetto serra prodotto dall'attività umana?	Anidride carbonica (CO2)	Metano (CH4)	Ossido nitroso (N2O)	Vapore acqueo (H2O)
29	Cosa studia la psicologia moderna?	Il comportamento e i processi mentali umani	La storia dell'arte moderna	Le teorie economiche contemporanee	Le strategie di marketing digitale
29	Come si chiama il processo attraverso il quale gli individui elaborano le informazioni provenienti dall'ambiente esterno e dall'interno del proprio corpo?	Percezione	Memoria	Apprendimento	Emozione
29	Cosa rappresenta l'acronimo "PTSD" nella psicologia moderna?	Disturbo da Stress Post-Traumatico	Depressione Maggiore	Disturbo di Ansia Generalizzato	Disturbo Bipolare
29	Qual è il principale campo di studio della psicologia che si concentra sullo studio del funzionamento ottimale degli individui e la ricerca del significato e del valore nella vita?	Psicologia Positiva	Psicoanalisi	Psicologia Comportamentale	Psicologia Cognitiva
29	Come si chiama il modello psicologico che descrive l'interazione tra il pensiero le emozioni e il comportamento?	Modello cognitivo-comportamentale	Modello psicoanalitico	Modello umanistico	Modello bio-psico-sociale
29	Chi è considerato il padre della psicoanalisi?	Sigmund Freud	Carl Jung	Alfred Adler	Erik Erikson
29	Cosa studia la psicologia dello sviluppo?	Lo sviluppo fisico cognitivo ed emotivo dall'infanzia all'età adulta	La storia dello sviluppo economico	Le strategie di marketing per le diverse fasce d'età	Il processo di invecchiamento della popolazione
29	Qual è il processo attraverso il quale le informazioni vengono codificate conservate e recuperate nella memoria?	Memoria	Apprendimento	Percezione	Emozione
29	Cosa rappresenta l'acronimo "OCD" nella psicologia moderna?	Disturbo Ossessivo-Compulsivo	Disturbo da Panico	Disturbo Bipolare	Disturbo d'Ansia Sociale
29	Come si chiama il processo attraverso il quale gli individui acquisiscono conoscenze e comportamenti nuovi o modificano quelli esistenti?	Apprendimento	Percezione	Memoria	Emozione
30	Come si chiama l'animale più veloce sulla terra?	Ghepardo	Leopardo	Tigre	Leone
30	Cosa mangiano principalmente i koala?	Foglie di eucalipto	Carne di altri animali	Frutta e verdura	Insetti
30	Qual è l'animale terrestre più grande?	Elefante Africano	Rinoceronte	Ippopotamo	Orso Polare
30	Come si chiama il processo attraverso il quale un animale perde le foglie e il pelo in risposta al cambio delle stagioni?	Muta	ibernazione	adattamento	evoluzione
30	Come si chiama il pesce che può gonfiarsi fino a diventare una sfera per difendersi dai predatori?	Porcupinefish (pesce istrice)	Pufferfish (pesce palla)	Clownfish (pesce pagliaccio)	Swordfish (pesce spada)
30	Qual è l'animale che può camminare sulle acque senza affondare?	Basilisco verde	Lucertola coda frusta	Gecko	Anolis
30	Come si chiama il piccolo di una capra?	Capretto	Puledro	Cucciolo di capra	Vitello
30	Qual è l'uccello più grande del mondo?	Struzzo	Aquila	Condor	Albatro
30	Cosa mangia principalmente il panda gigante?	Bambù	Carne di altri animali	Frutta e verdura	Insetti
30	Qual è il mammifero marino più grande?	Balena blu	Orca (orca)	Cachalot (sperm whale)	Megalodonte
